Symbol,code
i,000
a,001
s,01000
o,01001
h,0101000
A,0101001
V,0101010
.,0101011
é,01011000
p,01011001
S,01011010
f,01011011
b,01011100
c,01011101
w,01011110
L,010111110
Y,010111111
 ,011
t,10000
u,10001
q,100100000
?,100100001
T,100100010
O,100100011
E,100100100
;,100100101
C,100100110
R,100100111
d,100101
á,100110
N,1001110
!,1001111
l,1010
n,1011
r,1100
ë,11010
"
",11011
m,11100
y,111010
v,111011
e,11110
ó,1111100
",",1111101
í,1111110
-,11111110
ú,11111111
